"player_id","player_name","player_dob","playing_role","batting_style","bowling_style"
"625383","Jasprit Jasbirsingh Bumrah",1993-12-06,"Bowler","Right-hand bat","Right-arm fast-medium"
"42055","Naseer Ahmed Malik",1950-02-01,NA,"Right-hand bat","Right-arm medium-fast"
"232730","James Douglas Hall",1988-10-19,"Opening batsman","Right-hand bat","Right-arm offbreak"
"36078","Yograj Singh Bhagsingh Bhundel",1958-03-25,NA,"Right-hand bat","Right-arm fast-medium"
"55597","Tinotenda Mbiri Kanayi Mawoyo",1986-01-08,"Batsman","Right-hand bat","Right-arm medium-fast"
"22403","Craig White",1969-12-16,"Allrounder","Right-hand bat","Right-arm fast-medium, Right-arm offbreak"
"28774","Doddanarasiah Ganesh",1973-06-30,NA,"Right-hand bat","Right-arm medium"
"40575","Irfan Ahsan Kaleem Bhatti",1964-09-28,NA,"Right-hand bat","Right-arm fast-medium"
"793467","Karim Janat",1998-08-11,"Bowling allrounder","Right-hand bat","Right-arm medium"
"8468","Timothy Joseph Zoehrer",1961-09-25,NA,"Right-hand bat","Legbreak googly"
