"series_url","series","season","winner","margin"
"http://www.espncricinfo.com/ci/engine/series/60783.html","England in Australia ODI Match","1970/71","Australia","1-0 (1)"
"http://www.espncricinfo.com/ci/engine/series/60784.html","Prudential Trophy (Australia in England)","1972","England","2-1 (3)"
"http://www.espncricinfo.com/ci/engine/series/60785.html","Pakistan in New Zealand ODI Match","1972/73","New Zealand","1-0 (1)"
"http://www.espncricinfo.com/ci/engine/series/60786.html","Prudential Trophy (New Zealand in England)","1973","England","1-0 (2)"
"http://www.espncricinfo.com/ci/engine/series/60787.html","Prudential Trophy (West Indies in England)","1973","West Indies","1-1 (2)"
"http://www.espncricinfo.com/ci/engine/series/60788.html","Australia in New Zealand ODI Series","1973/74","Australia","2-0 (2)"
"http://www.espncricinfo.com/ci/engine/series/60789.html","Prudential Trophy (India in England)","1974","England","2-0 (2)"
"http://www.espncricinfo.com/ci/engine/series/60790.html","Prudential Trophy (Pakistan in England)","1974","Pakistan","2-0 (2)"
"http://www.espncricinfo.com/ci/engine/series/60791.html","England in Australia ODI Match","1974/75","England","1-0 (1)"
"http://www.espncricinfo.com/ci/engine/series/60792.html","England in New Zealand ODI Series","1974/75","drawn","0-0 (2)"
"http://www.espncricinfo.com/ci/engine/series/60793.html","Prudential World Cup (in England)","1975","West Indies",""
"http://www.espncricinfo.com/ci/engine/series/60794.html","West Indies in Australia ODI Match","1975/76","Australia","1-0 (1)"
"http://www.espncricinfo.com/ci/engine/series/60795.html","India in New Zealand ODI Series","1975/76","New Zealand","2-0 (2)"
"http://www.espncricinfo.com/ci/engine/series/60796.html","Prudential Trophy (West Indies in England)","1976","West Indies","3-0 (3)"
"http://www.espncricinfo.com/ci/engine/series/60797.html","New Zealand in Pakistan ODI Match","1976/77","New Zealand","1-0 (1)"
"http://www.espncricinfo.com/ci/engine/series/60798.html","Pakistan in West Indies ODI Match","1976/77","West Indies","1-0 (1)"
"http://www.espncricinfo.com/ci/engine/series/60799.html","Prudential Trophy (Australia in England)","1977","England","2-1 (3)"
"http://www.espncricinfo.com/ci/engine/series/60800.html","England in Pakistan ODI Series","1977/78","England","2-1 (3)"
"http://www.espncricinfo.com/ci/engine/series/60801.html","Australia in West Indies ODI Series","1977/78","drawn","1-1 (2)"
"http://www.espncricinfo.com/ci/engine/series/60802.html","Prudential Trophy (Pakistan in England)","1978","England","2-0 (2)"
"http://www.espncricinfo.com/ci/engine/series/60803.html","Prudential Trophy (New Zealand in England)","1978","England","2-0 (2)"
"http://www.espncricinfo.com/ci/engine/series/60804.html","India in Pakistan ODI Series","1978/79","Pakistan","2-1 (3)"
"http://www.espncricinfo.com/ci/engine/series/60805.html","England in Australia ODI Series","1978/79","Australia","2-1 (5)"
"http://www.espncricinfo.com/ci/engine/series/60806.html","Prudential World Cup (in England)","1979","West Indies",""
"http://www.espncricinfo.com/ci/engine/series/60807.html","Benson & Hedges World Series Cup (Australia, England, West Indies in Australia)","1979/80","West Indies",""
"http://www.espncricinfo.com/ci/engine/series/60808.html","West Indies in New Zealand ODI Match","1979/80","New Zealand","1-0 (1)"
"http://www.espncricinfo.com/ci/engine/series/60809.html","Prudential Trophy (West Indies in England)","1980","West Indies","1-1 (2)"
"http://www.espncricinfo.com/ci/engine/series/60810.html","Prudential Trophy (Australia in England)","1980","England","2-0 (2)"
